ID,title
81f6f60e-907d-4fac-8390-fd78527c9ab8,German
82f6f60e-907d-4fac-8390-fd78527c9ab8,English
83f6f60e-907d-4fac-8390-fd78527c9ab8,Math
84f6f60e-907d-4fac-8390-fd78527c9ab8,Art
85f6f60e-907d-4fac-8390-fd78527c9ab8,Science
86f6f60e-907d-4fac-8390-fd78527c9ab8,History
87f6f60e-907d-4fac-8390-fd78527c9ab8,Music
88f6f60e-907d-4fac-8390-fd78527c9ab8,Geography
89f6f60e-907d-4fac-8390-fd78527c9ab8,Physics
90f6f60e-907d-4fac-8390-fd78527c9ab8,Biology
91f6f60e-907d-4fac-8390-fd78527c9ab8,Chemistry
92f6f60e-907d-4fac-8390-fd78527c9ab8,IT
93f6f60e-907d-4fac-8390-fd78527c9ab8,Technology
94f6f60e-907d-4fac-8390-fd78527c9ab8,Philosophy
